"data_id","area","crop","plant_start_date","plant_end_date","plant_range","harvest_start_date","harvest_end_date","harvest_range"
89,"Cambodia","Rice","6/1","10/16",138,"12/1","2/28",90
90,"Cambodia","Rice","11/1","1/31",92,"3/1","4/30",61
91,"Cambodia","Maize","5/1","6/30",61,"9/1","10/31",61
346,"Laos","Rice","5/17","7/16",61,"10/1","12/31",92
347,"Laos","Rice","11/15","1/31",78,"4/1","4/30",30
428,"Myanmar","Wheat","9/21","11/30",71,"2/20","5/11",81
429,"Myanmar","Maize","9/11","12/12",93,"1/10","4/10",91
430,"Myanmar","Potatoes","2/10","5/11",91,"6/11","9/10",92
434,"Nepal","Wheat","10/21","12/11",52,"3/12","6/30",111
435,"Nepal","Maize","2/1","5/21",110,"8/10","9/30",52
436,"Nepal","Rice","5/21","8/11",83,"10/21","12/19",60
437,"Nepal","Millet","6/10","8/11",63,"9/20","12/20",92
493,"Philippines","Potatoes","3/12","7/21",132,"8/1","11/20",112
583,"Thailand","Sorghum","4/12","8/31",142,"9/1","12/21",112
833,"Thailand","Rice","5/8","8/31",116,"10/6","2/3",121
834,"Thailand","Rice","1/6","3/10",64,"4/26","6/30",66
835,"Thailand","Maize","4/12","6/15",65,"7/6","9/18",75
839,"Vietnam","Rice","5/1","6/26",57,"8/15","11/8",86
844,"Philippines","Rice","4/1","6/18",79,"9/11","12/15",96
845,"Philippines","Rice","10/10","12/24",76,"1/11","4/18",98
846,"Philippines","Maize","4/4","6/15",73,"7/6","9/20",77
850,"Indonesia","Maize","6/22","8/24",64,"10/13","12/15",64
858,"Philippines","Maize","10/10","12/26",78,"2/9","5/5",86
